Maths,Physics,Chemistry,Result,total MP
17,27,22,0,44
72,82,77,1,154
97,18,13,0,115
8,42,37,0,50
32,25,20,0,57
15,73,68,0,88
63,67,62,1,130
97,70,65,1,167
57,93,88,1,150
60,58,53,1,118
83,36,31,0,119
48,22,17,0,70
100,72,67,1,172
26,13,8,0,39
12,59,54,0,71
62,65,60,1,127
3,87,82,0,90
49,10,5,0,59
55,67,94,1,122
77,44,62,1,121
97,39,39,0,136
98,85,97,1,183
0,23,34,0,23
89,50,80,1,139
57,13,18,0,70
34,12,45,0,46
92,13,8,0,105
29,93,7,0,122
75,79,8,0,154
13,11,88,0,24
40,58,74,1,98
3,37,6,0,40
2,64,53,0,66
3,13,92,0,16
83,77,32,0,160
69,38,59,0,107
1,66,97,0,67
48,73,8,0,121
87,80,72,1,167
27,39,33,0,66
54,54,61,1,108
92,39,68,0,131
3,38,75,0,41
67,68,34,0,135
28,47,49,0,75
97,12,34,0,109
56,63,91,1,119
63,81,33,0,144
70,92,63,1,162
29,22,42,0,51
44,33,7,0,77
29,90,58,0,119
86,47,76,1,133
28,25,87,0,53
97,52,17,0,149
58,74,28,0,132
37,64,85,0,101
2,74,97,0,76
53,95,42,1,148
71,34,20,0,105
82,48,47,1,130
12,46,97,0,58
23,85,96,0,108
80,73,69,1,153
92,74,59,1,166
37,60,69,0,97
15,85,90,0,100
95,14,29,0,109
42,71,43,1,113
92,41,41,1,133
91,61,80,1,152
64,63,68,1,127
54,95,69,1,149
64,32,55,0,96
85,56,80,1,141
24,80,9,0,104
38,57,66,0,95
36,21,36,0,57
75,66,56,1,141
63,94,58,1,157
64,75,90,1,139
50,23,27,0,73
75,30,51,0,105
4,76,75,0,80
61,60,94,1,121
31,57,91,0,88
95,72,99,1,167
51,13,52,0,64
53,70,16,0,123
85,15,61,0,100
22,49,89,0,71
46,88,70,1,134
70,85,18,0,155
89,84,25,0,173
99,60,71,1,159
86,92,55,1,178
94,31,52,0,125
47,31,67,0,78
11,74,98,0,85
56,39,8,0,95
84,11,65,0,95
65,35,10,0,100
13,79,44,0,92
99,80,95,1,179
20,39,83,0,59
66,61,80,1,127
50,75,79,1,125
47,54,55,1,101
62,83,87,1,145
93,55,26,0,148
3,68,26,0,71
60,44,69,1,104
5,94,34,0,99
39,80,6,0,119
90,87,30,0,177
78,10,74,0,88
75,59,75,1,134
74,75,34,0,149
50,26,56,0,76
82,76,70,1,158
21,81,49,0,102
21,36,78,0,57
64,64,50,1,128
29,17,63,0,46
1,71,39,0,72
98,56,89,1,154
25,82,75,0,107
69,80,82,1,149
70,35,98,0,105
29,74,5,0,103
51,62,54,1,113
65,72,99,1,137
44,55,70,1,99
73,63,21,0,136
45,54,71,1,99
58,10,76,0,68
34,78,31,0,112
84,79,59,1,163
70,89,12,0,159
77,88,66,1,165
93,52,51,1,145
0,68,77,0,68
49,86,75,1,135
100,13,30,0,113
94,39,69,0,133
65,91,57,1,156
16,32,67,0,48
66,80,50,1,146
99,84,58,1,183
71,33,49,0,104
26,21,5,0,47
54,80,73,1,134
7,42,74,0,49
61,14,84,0,75
46,19,83,0,65
72,20,47,0,92
70,12,63,0,82
25,67,81,0,92
64,11,8,0,75
52,45,34,0,97
62,41,86,1,103
45,44,27,0,89
53,24,75,0,77
44,89,79,1,133
0,33,28,0,33
68,54,16,0,122
69,47,75,1,116
79,18,37,0,97
100,31,9,0,131
78,30,91,0,108
42,42,14,0,84
58,77,15,0,135
76,31,7,0,107
3,94,62,0,97
29,44,6,0,73
81,92,40,1,173
22,47,36,0,69
70,68,39,0,138
74,51,19,0,125
23,73,84,0,96
11,70,28,0,81
70,24,49,0,94
32,13,42,0,45
4,49,13,0,53
86,59,26,0,145
9,53,25,0,62
10,63,37,0,73
2,34,72,0,36
57,43,26,0,100
1,23,89,0,24
96,42,39,0,138
96,75,87,1,171
35,36,96,0,71
31,87,42,0,118
34,65,63,0,99
14,12,94,0,26
79,38,46,0,117
23,12,68,0,35
44,60,65,1,104
37,28,19,0,65
8,14,8,0,22
21,30,44,0,51
20,67,54,0,87
32,74,48,0,106
67,64,58,1,131
21,79,29,0,100
84,38,38,0,122
34,90,18,0,124
82,76,37,0,158
91,67,98,1,158
37,38,70,0,75
58,77,31,0,135
89,93,82,1,182
41,13,60,0,54
63,60,7,0,123
60,83,33,0,143
14,51,7,0,65
3,94,55,0,97
39,90,23,0,129
