Maths,Physics,Chemistry,Result,total MP
1970-01-01 00:00:00.000000017,27,22,0,44
1970-01-01 00:00:00.000000072,82,77,1,154
1970-01-01 00:00:00.000000097,18,13,0,115
1970-01-01 00:00:00.000000008,42,37,0,50
1970-01-01 00:00:00.000000032,25,20,0,57
1970-01-01 00:00:00.000000015,73,68,0,88
1970-01-01 00:00:00.000000063,67,62,1,130
1970-01-01 00:00:00.000000097,70,65,1,167
1970-01-01 00:00:00.000000057,93,88,1,150
1970-01-01 00:00:00.000000060,58,53,1,118
1970-01-01 00:00:00.000000083,36,31,0,119
1970-01-01 00:00:00.000000048,22,17,0,70
1970-01-01 00:00:00.000000100,72,67,1,172
1970-01-01 00:00:00.000000026,13,8,0,39
1970-01-01 00:00:00.000000012,59,54,0,71
1970-01-01 00:00:00.000000062,65,60,1,127
1970-01-01 00:00:00.000000003,87,82,0,90
1970-01-01 00:00:00.000000049,10,5,0,59
1970-01-01 00:00:00.000000055,67,94,1,122
1970-01-01 00:00:00.000000077,44,62,1,121
1970-01-01 00:00:00.000000097,39,39,0,136
1970-01-01 00:00:00.000000098,85,97,1,183
1970-01-01 00:00:00.000000000,23,34,0,23
1970-01-01 00:00:00.000000089,50,80,1,139
1970-01-01 00:00:00.000000057,13,18,0,70
1970-01-01 00:00:00.000000034,12,45,0,46
1970-01-01 00:00:00.000000092,13,8,0,105
1970-01-01 00:00:00.000000029,93,7,0,122
1970-01-01 00:00:00.000000075,79,8,0,154
1970-01-01 00:00:00.000000013,11,88,0,24
1970-01-01 00:00:00.000000040,58,74,1,98
1970-01-01 00:00:00.000000003,37,6,0,40
1970-01-01 00:00:00.000000002,64,53,0,66
1970-01-01 00:00:00.000000003,13,92,0,16
1970-01-01 00:00:00.000000083,77,32,0,160
1970-01-01 00:00:00.000000069,38,59,0,107
1970-01-01 00:00:00.000000001,66,97,0,67
1970-01-01 00:00:00.000000048,73,8,0,121
1970-01-01 00:00:00.000000087,80,72,1,167
1970-01-01 00:00:00.000000027,39,33,0,66
1970-01-01 00:00:00.000000054,54,61,1,108
1970-01-01 00:00:00.000000092,39,68,0,131
1970-01-01 00:00:00.000000003,38,75,0,41
1970-01-01 00:00:00.000000067,68,34,0,135
1970-01-01 00:00:00.000000028,47,49,0,75
1970-01-01 00:00:00.000000097,12,34,0,109
1970-01-01 00:00:00.000000056,63,91,1,119
1970-01-01 00:00:00.000000063,81,33,0,144
1970-01-01 00:00:00.000000070,92,63,1,162
1970-01-01 00:00:00.000000029,22,42,0,51
1970-01-01 00:00:00.000000044,33,7,0,77
1970-01-01 00:00:00.000000029,90,58,0,119
1970-01-01 00:00:00.000000086,47,76,1,133
